Oceania,Melanesia,Fiji,WPB-ICPR,,1083.00,1113.00,1121.00,,919.00,,1097.00,,1397.00,,1540.00,1555.00,,,,132.34,135.43,135.48,,108.97,,127.57,,159.91,,173.85,174.30,
Europe,Northern Europe,Finland,UN-CTS,3641.00,3704.00,3867.00,3851.00,3625.00,3530.00,3589.00,3364.00,3268.00,3306.00,3295.00,3148.00,3135.00,3156.00,,69.66,70.66,73.53,72.97,68.42,66.35,67.18,62.69,60.64,61.08,60.61,57.66,57.19,57.37
Europe,Western Europe,France,UN-CTS/WPB-ICPR,55382.00,55355.00,55302.00,58402.00,61076.00,62252.00,60978.00,60544.00,64787.00,66572.00,67075.00,66270.00,66678.00,68432.00,,91.46,90.91,90.31,94.82,98.57,99.88,97.27,96.06,102.28,104.61,104.94,103.24,103.45,105.75
Americas,South America,French Guiana,WPB-ICPR,,691.00,,630.00,,658.00,,715.00,,654.00,,701.00,,,,,352.41,,299.04,,295.79,,305.32,,264.28,,267.94,,
Oceania,Polynesia,French Polynesia,WPB-ICPR,291.00,,314.00,,404.00,,,,,426.00,,429.00,,397.00,,117.10,,123.19,,155.03,,,,,156.79,,155.73,,141.64
Africa,Middle Africa,Gabon,WPB-ICPR,,,,,,,,,,,,,3373.00,,,,,,,,,,,,,,,174.75,
Africa,Western Africa,Gambia,WPB-ICPR,,,,,,,780.00,,1000.00,,1000.00,1121.00,,,,,,,,,,47.57,,57.26,,53.78,58.45,,
Asia,Western Asia,Georgia,UN-CTS,6119.00,7867.00,9144.00,15464.00,18309.00,18659.00,21239.00,23684.00,24114.00,19349.00,9093.00,10372.00,9716.00,9334.00,,133.63,173.54,203.81,348.37,417.01,429.88,495.35,559.69,578.10,471.04,224.75,259.80,245.88,236.85
Europe,Western Europe,Germany,UN-CTS,80829.00,80933.00,80201.00,78063.00,75153.00,73793.00,72295.00,70827.00,69543.00,68533.00,66221.00,63228.00,63020.00,64291.00,,98.95,99.04,98.20,95.74,92.39,90.96,89.29,87.55,85.93,84.54,81.49,77.59,77.13,78.52
Africa,Western Africa,Ghana,WPB-ICPR,11397.00,11581.00,12371.00,12847.00,,14128.00,,13507.00,,13487.00,14021.00,14599.00,,14368.00,,55.74,55.18,57.43,58.10,,60.64,,55.10,,52.41,53.22,54.15,,50.93
Europe,Southern Europe,Gibraltar,WPB-ICPR,,19.00,,30.00,,37.00,,53.00,,63.00,,,,56.00,,,59.57,,92.89,,113.04,,159.69,,187.37,,,,162.86
Europe,Southern Europe,Greece,UN-CTS,8726.00,8722.00,9964.00,10370.00,11645.00,11736.00,11364.00,12349.00,12479.00,12475.00,12693.00,11798.00,9716.00,9560.00,,77.61,77.39,88.17,91.46,102.32,102.77,99.30,107.89,109.25,109.64,112.12,104.73,86.61,85.40
Americas,Northern America,Greenland,WPB-ICPR,,111.00,,115.00,,132.00,,171.00,,170.00,,131.00,126.00,,,,195.21,,201.86,,232.23,,301.92,,301.04,,232.34,223.50,
Americas,Caribbean,Grenada,UN-CTS/WPB-ICPR,,182.00,237.00,334.00,367.00,386.00,409.00,438.00,457.00,489.00,480.00,513.00,502.00,457.00,,,177.29,230.21,323.46,354.29,371.40,392.15,418.43,434.93,463.59,453.22,482.32,469.94,425.81
Americas,Caribbean,Guadeloupe,WPB-ICPR,695.00,,743.00,,790.00,,,,784.00,,871.00,,907.00,,,160.07,,169.04,,177.56,,,,173.66,,192.98,,201.37,
Oceania,Micronesia,Guam,WPB-ICPR,,393.00,,495.00,,559.00,,559.00,,585.00,,754.00,756.00,,,,248.58,,312.01,,351.49,,350.59,,365.69,,468.42,467.25,
Americas,Central America,Guatemala,UN-CTS/WPB-ICPR,8307.00,8698.00,8247.00,7477.00,,8158.00,,11148.00,,15013.00,16336.00,18425.00,,,,66.45,67.97,62.97,55.81,,58.24,,76.20,,98.31,104.74,115.71,,
Europe,Northern Europe,Guernsey,WPB-ICPR,,93.00,,117.00,,87.00,,75.00,,117.00,,,,91.00,,,,,,,,,,,,,,,
